Class,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Car-Compact," $45,000 "," $42,000 "," $40,000 "," $38,000 "," $37,000 ","$36,614 ","$36,108 ","$35,603 ","$34,430 ","$35,598 ","$41,020 ","$34,491 ","$33,348 ","$32,319 ","$31,389 ","$30,548 ","$29,784 ","$29,089 ","$28,455 ","$27,876 ","$27,252 ","$26,645 "
Car-Large," $128,500 "," $110,000 "," $109,000 "," $100,000 "," $95,000 ","$81,015 ","$81,015 ","$92,035 ","$90,233 ","$86,539 ","$82,443 ","$67,215 ","$65,438 ","$63,845 ","$62,415 ","$61,129 ","$59,972 ","$58,929 ","$57,989 ","$57,140 ","$56,280 ","$55,432 "
Car-Midsize," $59,000 "," $58,000 "," $57,400 "," $56,000 "," $55,000 "," $55,000 "," $53,000 ","$52,328 ","$51,817 ","$47,582 ","$43,511 ","$42,139 ","$40,509 ","$39,052 ","$37,749 ","$36,582 ","$35,536 ","$34,597 ","$33,753 ","$32,995 ","$32,218 ","$31,472 "
Car-Sport,,,,,,,,,,,"$150,900 ","$119,401 ","$110,408 ","$110,985 ","$109,363 ","$107,843 ","$106,212 ","$104,667 ","$103,118 ","$101,818 ","$100,434 ","$99,069 "
Car-Subcompact,,,,,,"$34,970 ","$34,832 ","$42,092 ","$40,561 ","$40,515 ","$37,695 ","$35,059 ","$33,477 ","$32,940 ","$32,441 ","$31,975 ","$31,538 ","$31,126 ","$30,736 ","$30,366 ","$29,921 ","$29,483 "
Cross/Ut-Midsize,,,,,,,"$79,147 ","$100,816 ","$100,816 ","$77,225 ","$74,582 ","$72,474 ","$70,582 ","$68,883 ","$67,354 ","$65,977 ","$64,735 ","$63,613 ","$62,599 ","$61,680 ","$60,753 ","$59,839 "
Cross/Ut-Small-Car,,,,,,"$85,420 ","$83,520 ","$80,910 ",,,,"$71,756 ","$69,883 ","$68,201 ","$66,688 ","$65,324 ","$64,094 ","$62,984 ","$61,979 ","$61,070 ","$60,151 ","$59,246 "
Cross/Ut-Small-Trk,,,,,,"$47,143 ",,,,"$74,800 ","$80,900 ","$74,052 ","$72,120 ","$70,383 ","$68,822 ","$67,415 ","$66,145 ","$64,999 ","$63,962 ","$63,024 ","$62,076 ","$61,142 "
Pickup-Compact,,,,,,,,,,,,"$69,000 ","$68,310 ","$67,627 ","$66,951 ","$66,281 ","$65,618 ","$64,962 ","$64,313 ","$63,669 ","$63,033 ","$62,402 "
"Pickup-Heavy(8,500-10,000)",,,,,,,,,,,,,"$87,500 ","$85,750 ","$84,035 ","$82,354 ","$80,707 ","$79,093 ","$77,511 ","$75,961 ","$74,442 ","$72,953 "
Pickup-Std,,,,,,,,,,,,"$48,750 ","$60,500 ","$59,895 ","$59,296 ","$58,703 ","$58,116 ","$57,535 ","$56,960 ","$56,390 ","$55,826 ","$55,268 "
Sport/Ut-Compact,,,,,,,,,,"$41,565 ","$41,800 ","$41,756 ","$39,883 ","$38,201 ","$36,688 ","$35,324 ","$34,094 ","$32,984 ","$31,979 ","$31,070 ","$30,151 ","$29,246 "
Sport/Ut-Large,,,,,,,,,,,,"$82,948 ","$75,250 ","$75,250 ","$75,250 ","$75,250 ","$64,094 ","$62,984 ","$61,979 ","$61,070 ","$60,151 ","$59,246 "
Sport/Ut-Midsize,,,,,,,,,,,,,"$29,883 ","$28,201 ","$26,688 ","$25,324 ","$24,094 ","$22,984 ","$21,979 ","$21,070 ","$20,151 ","$19,246 "
Van-Compact,,,,,,,,,,,,,"$54,000 ","$53,951 ","$52,686 ","$51,677 ","$50,666 ","$49,518 ","$48,469 ","$47,554 ","$46,772 ","$46,003 "
Van-Std,,,,,,,,,,,,,,"$35,029 ","$34,292 ","$33,694 ","$33,096 ","$32,425 ","$31,808 ","$31,264 ","$30,793 ","$30,329 "
