"","Model Year","m_p_k"
"1",2011,4.569026
"2",2012,4.569026
"3",2013,5.8091902
"4",2014,5.8269916
"5",2015,5.8269916
"6",2016,5.8269916
"7",2017,5.5362354
"8",2018,5.5362354
"9",2019,5.9308331
"10",2020,6.2423576
"11",2021,6.34892256945732
"12",2022,6.38006263742034
"13",2023,6.4606531481809
"14",2024,6.59895628697059
"15",2025,6.74555254627403
"16",2026,6.87159914848331
"17",2027,6.98356546297049
"18",2028,7.09715380575049
"19",2029,7.21762139667588
"20",2030,7.34091298678952
"21",2031,7.46269449965159
"22",2032,7.5824899164947
"23",2033,7.70191758603072
"24",2034,7.82201029396307
"25",2035,7.94260136218981
