year,Prices,,,,,,,Note: Weighted Average of Commercial and Residential Electricity Prices
2001,12.04899333,,,,,,,
2002,12.95124,,,,,,,
2003,12.34098,,,,,,,
2004,11.88568,,,,,,,
2005,12.14447333,,,,,,,
2006,13.48077333,,,,,,,
2007,13.51142,,,,,,,
2008,13.09123333,,,,,,,
2009,13.8842,,,,,,,
2010,13.83138,,,,,,,
2011,13.81878667,,,,,,,
2012,14.25112,,,,,,,
2013,15.10998,,,,,,,
2014,15.76703333,,,,,,,
2015,16.22417333,,,,,,,
2016,16.08247333,,,,,,,
2017,16.86896667,,,,,,,
2018,17.44329333,,,,,,,
2019,17.81279333,,,,,,,
2020,19.05094,,,,,,,
2021,19.08147348,,,,,,,
2022,19.51634632,,,,,,,
2023,19.95502464,,,,,,,
2024,20.39370295,,,,,,,
2025,20.83238127,,,,,,,
2026,21.27105959,,,,,,,
2027,21.70973791,,,,,,,
2028,22.14841622,,,,,,,
2029,22.58709454,,,,,,,
2030,23.02577286,,,,,,,
2031,23.46445117,,,,,,,
2032,23.90312949,,,,,,,
2033,24.34180781,,,,,,,
2034,24.78048613,,,,,,,
2035,25.21916444,,,,,,,
